county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"AR, Sebastian",0,1,0,1,1,2,1,0,2,,,2,2,2,1,,1,2,,
"AR, Sevier",,0,1,,,0,0,,,,,,,,,,,,,
"AR, Sharp",,0,,,0,0,,,,,,,,1,,,1,,,
"AR, St Francis",,0,,0,,0,0,,,,,1,,,,,,,,
"AR, Stone",,0,0,,0,0,,,,,,,,,,,0,,,
"AR, Union",0,7,1,2,5,0,1,1,,,,6,1,,1,0,1,1,1,
"AR, Van Buren",,0,0,0,,0,,,,,,,,,,,,,,
"AR, Washington",,1,0,0,0,1,2,,,,,3,1,,1,,,1,1,
"AR, White",,0,,0,,0,0,,,,,,0,1,1,1,2,0,,
"AR, Woodruff",,0,0,0,,0,,,,,,,,,,,,,,
"AR, Yell",,0,,,,1,,,,,,,0,,,,,,,
"AZ, Apache",,,0,5,1,1,1,,,1,1,0,1,0,1,,,,1,
"AZ, Cochise",,,0,1,1,2,0,0,,2,0,,0,,,0,0,,0,2
"AZ, Coconino",,,0,0,0,1,2,0,1,2,0,,,1,2,0,,,0,
"AZ, Gila",,,2,1,0,1,1,2,0,9,,,1,0,1,,,,1,
"AZ, Graham",,,2,4,2,0,3,5,,9,0,,,,,0,1,,,
"AZ, Greenlee",,,,,,0,,0,,,,,1,,,,,,,
"AZ, La Paz",,,0,0,1,0,0,,,,0,2,1,0,1,0,,,,1
"AZ, Maricopa",,,7,357,80,77,68,91,19,116,45,88,52,94,62,63,93,24,155,4
"AZ, Mohave",,,,5,3,2,1,,,0,0,1,,1,1,,1,,0,0
"AZ, Navajo",,,0,1,0,,0,,,1,1,,1,,,,1,,4,
"AZ, Pima",,,2,7,16,47,15,13,0,12,19,33,2,5,29,4,5,0,10,2
"AZ, Pinal",,,0,8,7,18,6,3,0,15,1,8,2,5,5,7,10,2,3,1
"AZ, Santa Cruz",,,,0,0,1,0,0,0,,1,,,,,1,,,,
"AZ, Yavapai",,,0,1,1,,0,,0,0,1,0,1,1,1,,,,,1
"AZ, Yuma",,,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1
"CA, Alameda",,,,0,1,1,0,1,0,1,0,2,0,1,0,0,1,0,1,0
"CA, Alpine",,,,0,,,,,,,,,,,,,,,,0
"CA, Amador",,,,0,3,0,0,0,0,0,1,,,,,1,,1,1,0
"CA, Butte",,,,7,24,31,16,6,2,1,3,10,24,24,53,21,4,12,5,4
"CA, Calaveras",,,,0,2,0,0,1,,0,,0,,0,,0,0,,,0
"CA, Colusa",,,,0,2,4,2,1,0,0,,3,2,3,1,2,0,0,1,
"CA, Contra Costa",,,,0,11,8,3,4,5,4,3,4,4,5,1,4,4,4,1,4
"CA, Del Norte",,,,0,,,,0,,,,,,,,,,,,
"CA, El Dorado",,,,0,1,2,0,1,1,0,1,0,1,0,0,1,0,0,0,1
"CA, Fresno",,,,11,59,11,17,3,13,23,9,24,8,43,8,14,13,14,51,10
"CA, Glenn",,,,3,13,12,7,1,0,2,1,7,9,10,19,6,0,2,0,1
"CA, Humboldt",,,,0,1,0,0,0,,,,,0,0,0,,0,1,,
"CA, Imperial",,,1,1,1,1,3,0,0,0,0,1,0,1,1,0,3,0,3,1
"CA, Inyo",,,,0,0,0,0,,,,0,,,,,,4,,,
"CA, Kern",,,,59,67,49,140,2,18,15,18,25,26,11,11,17,30,13,28,8
"CA, Kings",,,,0,32,1,7,2,3,1,1,3,1,4,0,8,5,0,3,2
"CA, Lake",,,,1,0,2,0,0,0,0,0,1,0,1,2,1,0,1,0,2
"CA, Lassen",,,,1,0,0,0,0,,0,,,,,,,0,,,
"CA, Los Angeles",,1,1,306,40,13,36,156,20,4,58,163,150,253,286,151,277,43,31,90
"CA, Madera",,,,0,18,0,2,0,1,7,2,3,3,3,4,6,2,4,3,6
"CA, Marin",,,,0,0,1,0,0,,,,0,2,0,1,0,0,,,0
"CA, Mariposa",,,,0,0,0,,,,,,,,,,,,,,
"CA, Mendocino",,,,0,0,0,2,0,,,,0,0,1,2,,,,,
"CA, Merced",,,,1,25,4,4,1,4,1,1,13,0,1,1,0,10,2,10,12
"CA, Modoc",,,,0,0,2,0,0,0,,,,,0,0,,,,,0
"CA, Mono",,,,0,0,1,,0,0,0,,,,,,,,,,
"CA, Monterey",,,,0,0,0,,0,1,,,1,,,,1,0,1,,
"CA, Napa",,,,0,0,1,1,0,0,,,0,1,0,0,0,,1,,0
"CA, Nevada",,,,0,4,1,0,0,,,0,0,0,0,2,0,0,1,,0
"CA, Orange",,,0,62,17,6,9,71,4,1,10,42,11,263,92,32,33,9,5,17
"CA, Placer",,,,1,35,8,4,6,0,3,1,12,5,7,0,7,0,9,1,2
"CA, Plumas",,,,0,1,,0,,,,,,,,,,0,0,0,
"CA, Riverside",,,1,109,103,4,17,62,3,0,7,19,36,14,127,11,32,15,12,10
"CA, Sacramento",,,,3,163,15,25,13,0,12,4,29,11,10,4,25,6,15,4,7
"CA, San Benito",,,,0,0,0,,,,,,,0,0,,,0,0,0,
"CA, San Bernardino",,,0,187,33,3,4,36,2,5,4,33,13,21,54,8,57,9,7,3
"CA, San Diego",,,0,2,1,1,15,35,4,0,0,1,0,11,42,20,2,2,3,1
"CA, San Francisco",,,,0,2,0,0,,0,1,,1,1,0,,0,1,,,
"CA, San Joaquin",,,,2,34,8,10,12,10,6,5,13,9,9,2,13,14,14,7,2
"CA, San Luis Obispo",,,,1,0,1,0,0,0,,,0,0,0,,0,0,,2,
"CA, San Mateo",,,,0,1,0,0,0,0,0,,0,,0,0,0,0,0,,0
"CA, Santa Barbara",,,,0,2,0,0,1,0,,1,,1,0,0,,0,,,0
"CA, Santa Clara",,,,1,5,5,4,1,0,0,1,0,2,10,8,1,0,1,1,0
"CA, Santa Cruz",,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
"CA, Shasta",,,,5,1,4,9,1,0,0,0,1,1,2,3,1,1,1,0,2
"CA, Sierra",,,,0,,,,,,,,,,,,,,,,
"CA, Siskiyou",,,,0,0,0,0,,,,,,,,1,,,,,
"CA, Solano",,,,0,5,8,1,1,0,0,0,2,1,5,1,4,1,0,1,1
"CA, Sonoma",,,,0,1,0,1,0,,,0,0,0,0,0,0,0,0,,
"CA, Stanislaus",,,,0,84,11,21,17,14,12,11,26,16,33,13,26,28,15,16,35
"CA, Sutter",,,,0,9,12,3,0,0,0,0,8,10,8,2,12,3,1,1,1
"CA, Tehama",,,,10,4,6,4,4,0,0,1,4,5,4,5,5,2,2,0,2
"CA, Trinity",,,,0,,0,0,0,,,,,0,,0,,,,,
"CA, Tulare",,,,3,56,6,10,5,4,12,11,7,5,21,13,10,12,8,24,7
"CA, Tuolumne",,,,0,1,0,0,,0,,,,,,,,0,1,0,
"CA, Ventura",,,,2,1,3,1,0,0,,0,7,2,1,6,7,1,2,2,0
"CA, Yolo",,,,1,11,27,2,1,2,0,0,10,6,15,8,16,6,11,1,4
"CA, Yuba",,,,0,6,5,0,0,1,0,3,4,13,6,10,11,1,2,0,0
"CO, Adams",,4,232,15,4,11,31,6,6,3,0,16,25,5,7,12,4,3,9,0
"CO, Alamosa",,,3,0,0,0,0,,,,0,1,,1,0,,,,,
"CO, Arapahoe",,0,138,0,2,2,18,1,10,7,,4,5,4,11,8,5,6,3,0
"CO, Archuleta",,,0,2,0,,,,,,1,0,,,,,1,,1,
"CO, Baca",,0,5,1,,,1,,,1,,1,,,,,1,,,
"CO, Bent",,0,7,,4,3,4,0,,,,,1,2,,2,,,,
"CO, Boulder",,0,421,14,5,74,95,13,12,6,2,1,52,11,11,23,9,11,12,3
"CO, Chaffee",,,7,,0,,,,,,,,,,,,1,,,
"CO, Cheyenne",,0,4,,,,2,,2,,,,1,1,,,,,,
"CO, Clear Creek",,,1,,,,,,,,,,,,,,,1,,
"CO, Conejos",,0,1,,,,,,,,,,,,0,,,,,
"CO, Costilla",,,0,,,,,,,,,,,,1,1,,,,
"CO, Crowley",,0,4,0,0,2,1,,,,,,2,,1,,1,,,
"CO, Custer",,0,,,,,1,,,,,,,,,,,,,
"CO, Delta",,,10,27,1,34,6,1,0,1,1,22,14,3,0,0,1,8,33,15
"CO, Denver",,1,162,3,5,5,27,3,1,1,1,16,12,5,11,19,1,5,2,7
"CO, Dolores",,,0,,,,,,,,,,,,,,,,,
"CO, Douglas",,0,39,1,1,,8,,,1,,1,2,2,2,1,,,0,
"CO, Eagle",,,1,0,1,1,,,,,,,1,,,,,,,
"CO, El Paso",,2,114,2,1,5,4,0,,1,,2,1,2,1,1,,2,,
"CO, Elbert",,0,8,,,2,0,,,,,,1,,,,,,1,
"CO, Fremont",,0,77,4,4,1,14,,0,,,5,,2,4,,1,,0,
"CO, Garfield",,,2,5,1,2,5,,,,,,0,,,,,1,0,
"CO, Grand",,0,1,0,,,,,,,,,,,,,,,,
"CO, Gunnison",,,0,1,,,,1,,,,,,,,,,,,
"CO, Huerfano",,0,10,,,,1,,,,,,1,,1,1,,,,
"CO, Jefferson",,2,157,8,6,8,33,3,8,1,0,3,5,4,8,3,5,5,8,2
"CO, Kiowa",,,1,,,,,1,,,,,,,,,,,,
"CO, Kit Carson",,0,5,2,,,,,,1,,,,1,,,,,,
"CO, La Plata",,,14,21,1,2,3,,1,2,1,4,1,,1,1,2,,6,2
"CO, Larimer",,0,546,17,13,42,94,13,26,13,1,8,89,18,17,32,14,17,7,3
"CO, Las Animas",,0,7,0,1,0,2,,0,,0,1,,,,,,,0,
"CO, Lincoln",,0,8,,,,3,,0,,,,1,,,,0,,,
"CO, Logan",,1,84,5,4,7,9,2,1,0,0,0,7,4,1,3,1,4,2,
"CO, Mesa",,0,19,127,10,38,37,,2,12,0,14,9,7,2,0,0,2,6,
"CO, Moffat",,0,2,,,,0,,,1,,,,,,,,,,
"CO, Montezuma",,,5,4,,,4,,,0,,,6,,,,0,,4,
"CO, Montrose",,,9,11,,13,3,,0,,0,20,2,1,,,1,8,9,1
"CO, Morgan",,0,61,1,4,2,14,2,3,,,2,17,3,2,1,2,3,1,1
"CO, Otero",,0,28,0,1,3,10,1,7,0,0,1,3,2,1,3,,2,1,
"CO, Ouray",,,0,0,,0,,,,,,,,,,,,,,
"CO, Park",,,1,1,,,,,,,,,,,0,,,,,
"CO, Phillips",,0,23,2,4,1,2,1,,4,,,,,0,,1,,,
"CO, Pitkin",,,0,0,0,,,,,,,,,,,,,,1,
"CO, Prowers",,1,42,3,4,5,7,1,5,4,0,1,6,6,1,,,,,
"CO, Pueblo",,1,183,4,5,7,20,2,2,2,0,1,5,7,4,1,2,0,3,
"CO, Rio Blanco",,,,1,,,,,,,,,0,,,2,,,1,
"CO, Rio Grande",,,3,,,,,,,,0,,,,1,,,,,
"CO, Routt",,,0,0,,,,,,,,,,,,,,,,
"CO, Saguache",,,2,0,,,,,,,,,,1,,,,,,
"CO, San Miguel",,,,,,,,,,,,,,,,,,1,1,
"CO, Sedgwick",,0,13,1,5,,,,1,2,,,1,,1,3,,,,
"CO, Summit",,,3,,,,,,,,,,1,,,,,,,
"CO, Teller",,,0,,,,0,,,,,,,,,,,,1,
"CO, Washington",,1,10,,,,3,,,,,,2,,1,,1,1,,
"CO, Weld",,1,402,8,17,68,98,19,15,18,0,5,43,25,10,27,14,15,9,0
"CO, Yuma",,0,17,,2,1,5,1,,,,,,,,,0,,,
"CT, Fairfield",3,8,6,1,3,3,1,8,0,7,6,11,4,4,8,0,2,11,1,5
"CT, Hartford",0,6,2,0,2,1,1,0,0,2,1,2,0,0,0,0,0,5,0,1
"CT, Litchfield",0,0,1,0,,,,,,0,0,,,0,,,,0,,
"CT, Middlesex",0,0,3,,,0,,0,0,1,0,0,,,0,0,0,3,0,
"CT, New Haven",3,3,2,0,1,5,2,0,0,1,2,7,0,2,2,1,1,3,0,2
"CT, New London",0,0,2,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,
"CT, Tolland",0,0,1,0,0,,,,,0,0,,0,,,,,,,
"CT, Windham",0,0,0,0,,,,,,,,,0,,0,,0,1,0,
"DC, Washington",0,34,3,2,5,2,0,8,2,6,15,10,1,3,5,1,4,13,11,
"DE, Kent",0,1,8,0,1,0,0,1,0,0,0,1,2,0,2,,1,1,0,
"DE, New Castle",0,0,8,0,1,0,1,0,0,0,1,7,1,0,3,0,0,7,0,0
"DE, Sussex",,0,1,0,,0,0,0,0,0,0,1,0,0,1,,0,2,0,0
"FL, Alachua",0,1,1,0,0,,,,0,0,,0,1,1,,0,,0,0,0
"FL, Baker",0,,,,,,,,,,,,0,,,,,,,
"FL, Bay",0,0,14,0,0,0,2,0,0,,,1,0,0,0,3,0,4,0,1
"FL, Bradford",0,0,0,,,,,,,0,,,,,,,,0,,
"FL, Brevard",0,1,1,4,0,,,0,,1,0,,0,0,0,0,0,0,0,0
"FL, Broward",0,0,4,2,,,,,,1,,2,,,,,,,0,6
"FL, Calhoun",0,0,2,,,,,,,,,0,,,,,,,,
"FL, Charlotte",0,0,0,0,0,,,,0,0,0,0,,0,0,,0,1,0,1
"FL, Citrus",0,1,2,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0
"FL, Clay",0,1,0,,0,,,,1,,1,,0,1,,,,2,,
"FL, Collier",0,0,2,0,,,,,,2,,,,,,,0,,,7
"FL, Columbia",0,0,0,,,,,,,,,,0,,,,,,,
"FL, De Soto",,0,1,,,,,,,1,,,,,,,,,,
"FL, Dixie",0,0,0,,0,,,,,,,,,,,,,,,
"FL, Duval",1,1,6,7,1,0,0,,0,1,18,28,3,2,1,1,,13,1,0
"FL, Escambia",0,7,12,,,2,0,2,,,,15,,4,4,2,1,1,,
"FL, Flagler",0,0,0,,0,,,,,0,,0,0,0,0,0,,,,
"FL, Franklin",0,,1,,,,,,,,,,,,,,,,,
"FL, Gadsden",0,,0,1,0,,,,,,,1,,,,,,1,,
"FL, Gilchrist",0,0,0,,,,,,0,,,0,,,,,,0,,
"FL, Glades",0,0,0,,0,,,,,0,,,,,,,,,,
"FL, Gulf",0,,4,,,,0,,0,,,,,,,0,,,,
"FL, Hamilton",0,,0,,,,,,,,,,,,,,,0,,
"FL, Hardee",,0,,,,,,,,,,,,,,,,,,
"FL, Hendry",0,0,0,0,0,,,,,0,,,,,,,,,,0
"FL, Hernando",0,0,0,,,,,,,0,0,0,0,0,0,,,0,0,0
"FL, Highlands",0,0,,,,,,,,1,,,,,,,,,,
"FL, Hillsborough",0,1,1,3,0,0,,0,0,0,0,1,0,0,2,0,0,0,0,0
"FL, Holmes",0,0,2,0,,,,,,,,3,,,,,,,,0
"FL, Indian River",0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
"FL, Jackson",0,0,0,,0,0,,,,,,2,0,,,,0,,,
"FL, Jefferson",1,,0,0,0,,,,,0,,0,,,,,,,,
"FL, Lafayette",0,,1,,,,,,,,,,,,,,1,,,
"FL, Lake",0,1,0,,,,,,,,,,0,0,,,,,0,0
"FL, Lee",0,1,3,0,0,0,,,1,1,0,0,,0,0,0,0,0,0,1
"FL, Leon",1,0,0,,0,,,0,0,0,2,2,1,1,0,0,0,3,0,0
"FL, Levy",0,0,0,,,,,,,,,0,,,,,,0,,
"FL, Liberty",0,0,0,,,,,,,,,,,,,,,,,
"FL, Madison",2,,0,0,,,,0,,,,,,,,,,,0,
"FL, Manatee",0,1,0,0,0,0,,,,0,0,1,0,0,0,0,0,1,0,0
"FL, Marion",1,3,2,0,1,,,,0,0,,,,1,1,,,0,,
"FL, Martin",0,0,0,0,,,,,,0,,0,,,0,,0,0,0,1
"FL, Miami-Dade",0,0,6,21,,,,,1,0,1,,,,,,,0,,28
"FL, Monroe",2,0,1,,0,,,,,,,,,1,,,,,,
"FL, Nassau",0,,0,0,0,0,,,0,0,0,1,1,0,0,0,,4,0,0
"FL, Okaloosa",0,0,8,,,,,,,,0,4,,,,1,,,,0
"FL, Okeechobee",0,0,0,,,,,,,,,,,,,,,,,0
"FL, Orange",0,1,0,0,0,0,0,0,,2,0,1,0,0,0,0,0,0,0,0
"FL, Osceola",0,0,0,0,0,0,,,,1,,,,,,0,,0,0,
"FL, Palm Beach",1,2,0,0,,1,0,,0,0,2,0,,,0,0,0,0,0,5
"FL, Pasco",0,0,0,0,1,0,,,,,0,0,0,1,0,0,0,0,0,0
"FL, Pinellas",0,0,0,0,18,,1,0,,0,0,,,0,1,0,0,0,0,0
"FL, Polk",0,1,0,0,,,,,,0,,0,1,1,0,0,0,0,0,0
"FL, Putnam",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FL, Santa Rosa",0,1,10,,,,,,0,,,5,,0,,1,1,,,
"FL, Sarasota",1,2,1,3,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0
"FL, Seminole",0,0,2,0,0,,,,0,0,0,0,0,0,0,0,,0,0,
"FL, St Johns",0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"FL, St Lucie",0,0,0,0,0,,,,,0,0,0,,,,,0,0,0,0
"FL, Sumter",0,1,,,,,,,,,,,,0,0,,,1,1,
"FL, Suwannee",0,0,1,,,,,,,1,,0,,,,0,,1,,1
"FL, Taylor",0,,0,,,,,,,,,,,,,,1,1,,
"FL, Union",0,0,1,,0,,,,,0,,,,,,,,,,
"FL, Volusia",0,0,1,0,,0,,,,0,,1,0,4,1,0,1,0,0,0
"FL, Wakulla",0,,0,,,,,1,,,,,,,,,,,,
"FL, Walton",0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
"FL, Washington",1,0,2,,,,,,0,,,1,,,,,,1,,
"GA, Appling",0,0,1,,,,,,,,,0,,,,,,,,
"GA, Atkinson",0,,0,,,,,,,,,,,,,,,,,
"GA, Bacon",0,0,,,,,,,,,,,,,,,,,,
"GA, Baker",0,0,,,0,,,0,,,,,,,,,,,,
"GA, Baldwin",,0,0,,,,,,,,,,,,,,,,,
"GA, Banks",,,0,,,,,,,,,,,,,,,,,
"GA, Barrow",0,0,0,0,,,,,,,,,,,,,,,,
"GA, Bartow",0,0,1,,0,,,,,,,1,,,,,,,,
"GA, Ben Hill",,0,1,,,,,,0,,,0,,,,,1,,,
"GA, Berrien",0,,0,,,,,,,,,,,,,,,,,
"GA, Bibb",0,3,1,0,0,,3,1,1,1,,0,,,,,0,1,1,
"GA, Bleckley",,,0,,,,,,,,,,,,,,,,,
"GA, Brantley",0,,1,,,,,,,,,1,2,1,,,0,,,
"GA, Brooks",0,,,,,,,,0,,,,,,,,,0,,
