county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,lat,lon,FIPS
0,"AL, Autauga",,1.0,0.0,0.0,,,,0.0,,,,,,,,1.0,6.0,,,1.0,32.536382,-86.64449,01001
1,"AL, Baldwin",,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,3.0,3.0,2.0,1.0,,30.659218,-87.746067,01003
2,"AL, Barbour",,1.0,1.0,,,,,,,,,,,,,,,,,,31.87067,-85.405456,01005
3,"AL, Bibb",,0.0,0.0,,0.0,,,,,,,,,,1.0,,1.0,,,,33.015893,-87.127148,01007
4,"AL, Blount",,0.0,1.0,0.0,,,,,0.0,,,,,,,,0.0,,,,33.977448,-86.567246,01009
5,"AL, Bullock",,0.0,,,,,,,,,,,,,,,1.0,,,,32.101759,-85.717261,01011
6,"AL, Butler",,0.0,0.0,,,,2.0,,0.0,,,0.0,,,,,,,,,31.751667,-86.681969,01013
7,"AL, Calhoun",0.0,1.0,1.0,0.0,,,,,,,,1.0,,,,,2.0,,,,33.771706,-85.822513,01015
8,"AL, Chambers",,1.0,0.0,,0.0,,1.0,,,,,,,,,,,,,0.0,32.917943,-85.391812,01017
9,"AL, Cherokee",,0.0,0.0,,,,,,,,,,,,,,,,,,34.069515,-85.654242,01019
10,"AL, Chilton",,0.0,,,,,,,,,,,,,,,3.0,,,,32.85406,-86.726628,01021
11,"AL, Choctaw",,0.0,0.0,,,,,,,,,0.0,,,,,,,,,31.991008,-88.248887,01023
12,"AL, Clarke",,0.0,0.0,,,,,,,,,,,,,,,,,,31.685521,-87.818624,01025
13,"AL, Clay",,0.0,0.0,,,,,,,,,,,,,,0.0,,,,33.267809,-85.862051,01027
14,"AL, Cleburne",,0.0,,,,,,,,,,,,,,,1.0,,,,33.671981,-85.516109,01029
15,"AL, Coffee",,2.0,0.0,0.0,,,,,,,,1.0,1.0,,,1.0,,,,,31.402183,-85.989201,01031
16,"AL, Colbert",,0.0,0.0,,0.0,,,,,,,,,,,,2.0,,,,34.703112,-87.801457,01033
17,"AL, Conecuh",,0.0,0.0,,,,0.0,,,,,,,,1.0,,,,,,31.428293,-86.992029,01035
18,"AL, Coosa",,0.0,,,,,,,,,,,,,,,,,,,32.931445,-86.243482,01037
19,"AL, Covington",0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,31.243987,-86.448721,01039
20,"AL, Crenshaw",,0.0,,,,,,,,,,1.0,,,,,,,,,31.732826,-86.319222,01041
21,"AL, Cullman",,0.0,0.0,,,,1.0,0.0,0.0,,,,,,,,1.0,,,,34.131923,-86.869267,01043
22,"AL, Dale",0.0,2.0,,,,,,,,,,2.0,,,,1.0,,0.0,,,31.430654,-85.609476,01045
23,"AL, Dallas",0.0,1.0,1.0,,1.0,,,0.0,0.0,,,1.0,,,2.0,,2.0,,,1.0,32.33354,-87.114356,01047
24,"AL, De Kalb",,0.0,0.0,,,,,,,,,0.0,,,,,,,,,34.460929,-85.803992,01049
25,"AL, Elmore",,0.0,,0.0,1.0,,,,,,,,,,,,3.0,,,1.0,32.597229,-86.142739,01051
26,"AL, Escambia",,0.0,1.0,,0.0,,,1.0,0.0,,,1.0,,,,,,,,,31.121748,-87.168429,01053
27,"AL, Etowah",,1.0,0.0,,1.0,0.0,,,0.0,,,,,,0.0,,2.0,,,,34.047638,-86.03442,01055
28,"AL, Fayette",,0.0,0.0,,,,,,,,,,,,,,0.0,1.0,,,33.732249,-87.752049,01057
29,"AL, Franklin",,0.0,,,,,,,,,,,,,,,1.0,,,,34.441988,-87.842815,01059
30,"AL, Geneva",,0.0,2.0,,,,1.0,,,,,6.0,,,,,,,,,31.090866,-85.824346,01061
31,"AL, Greene",,0.0,0.0,0.0,,,,,,,,,,,,,,,,,32.844497,-87.964201,01063
32,"AL, Hale",,0.0,0.0,,,,,,,,,,,,,,,,,,32.752796,-87.623061,01065
33,"AL, Henry",,0.0,,,,,,,,,,,,,,,1.0,,,,31.516978,-85.239971,01067
34,"AL, Houston",,1.0,1.0,0.0,,,1.0,,,,,8.0,,,,,0.0,0.0,,,31.158193,-85.296398,01069
35,"AL, Jackson",,0.0,0.0,,,1.0,,,,,,,,,,,,,,,34.763522,-85.9774,01071
36,"AL, Jefferson",2.0,12.0,8.0,0.0,1.0,3.0,0.0,6.0,,,3.0,5.0,1.0,0.0,1.0,2.0,6.0,6.0,,1.0,33.553444,-86.896536,01073
37,"AL, Lamar",,0.0,,,,,,,,,,,,,,,0.0,,,,33.787085,-88.087431,01075
38,"AL, Lauderdale",,0.0,,,,,,,,,,1.0,,,,,,,,,34.904122,-87.650997,01077
39,"AL, Lawrence",,0.0,0.0,,,,,,0.0,,,,,,,,,,,,34.529776,-87.321865,01079
40,"AL, Lee",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,,,1.0,0.0,,,0.0,32.604064,-85.353048,01081
41,"AL, Limestone",,0.0,0.0,0.0,,,,1.0,,,,0.0,,,,1.0,,,,,34.810239,-86.9814,01083
42,"AL, Lowndes",,0.0,,,0.0,,,,,,,,,,,,,,,,32.147888,-86.650586,01085
43,"AL, Macon",,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,,32.387027,-85.692887,01087
44,"AL, Madison",0.0,1.0,0.0,0.0,,,1.0,,,,,1.0,,,,1.0,2.0,,,0.0,34.764238,-86.55108,01089
45,"AL, Marengo",,2.0,0.0,,,,,0.0,,,,1.0,,,,0.0,,,,,32.247591,-87.791091,01091
46,"AL, Marion",,1.0,,,,,,,,,,0.0,,,,,,,,,34.138219,-87.881551,01093
47,"AL, Marshall",0.0,0.0,1.0,0.0,,0.0,2.0,,,,,,,,,,,,0.0,,34.309564,-86.321668,01095
48,"AL, Mobile",0.0,5.0,3.0,13.0,0.0,3.0,1.0,3.0,,3.0,1.0,9.0,1.0,0.0,3.0,3.0,0.0,14.0,3.0,3.0,30.684573,-88.196568,01097
49,"AL, Monroe",,0.0,1.0,,,,,,,,,,,,,,1.0,,,,31.580332,-87.383266,01099
50,"AL, Montgomery",0.0,10.0,3.0,0.0,6.0,,13.0,1.0,,,,11.0,0.0,,,0.0,12.0,1.0,,,32.203651,-86.203831,01101
51,"AL, Morgan",,0.0,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,34.454484,-86.846402,01103
52,"AL, Perry",,0.0,,,,,,,,,,1.0,,,,,,,,,32.639005,-87.293827,01105
53,"AL, Pickens",,0.0,0.0,,,,,,,,,,,1.0,,,,,1.0,,33.296809,-88.096878,01107
54,"AL, Pike",,0.0,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,,31.798726,-85.941997,01109
55,"AL, Randolph",,0.0,0.0,,,,,,,,,,,,,,,,,,33.296475,-85.464068,01111
56,"AL, Russell",0.0,0.0,,,,0.0,1.0,0.0,0.0,,,,,,1.0,,,,,,32.289811,-85.18698,01113
57,"AL, Shelby",0.0,0.0,2.0,,0.0,,0.0,,,,,1.0,,,,,4.0,1.0,,,33.262937,-86.678104,01117
58,"AL, St Clair",,0.0,0.0,,0.0,,,,,,,,,,,,,,,,33.712963,-86.315663,01115
59,"AL, Sumter",,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,1.0,,,,32.597481,-88.200057,01119
60,"AL, Talladega",0.0,0.0,1.0,0.0,,,,1.0,,,,,1.0,,,,,1.0,,,33.369277,-86.175805,01121
61,"AL, Tallapoosa",,0.0,,,,,,,,,,,,,,,,,,,32.863369,-85.799553,01123
62,"AL, Tuscaloosa",0.0,7.0,0.0,2.0,,,,4.0,,,1.0,3.0,4.0,,,3.0,3.0,2.0,,1.0,33.290202,-87.52286,01125
63,"AL, Walker",,0.0,0.0,0.0,,,,,,,,,,,,,,,,,33.791571,-87.301092,01127
64,"AL, Washington",,0.0,0.0,,,,,,,,,,,,,1.0,,,,,31.406974,-88.202078,01129
65,"AL, Wilcox",,0.0,1.0,,,0.0,,,,,,1.0,,,,,,,,,31.99033,-87.302205,01131
66,"AL, Winston",,0.0,0.0,,,,,,,,,1.0,,,,,,,,,34.155888,-87.364147,01133
67,"AR, Arkansas",,1.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,34.289574,-91.376547,05001
68,"AR, Ashley",,2.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,,,,,,,,,33.190835,-91.772267,05003
69,"AR, Baxter",,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,36.28071,-92.330438,05005
70,"AR, Benton",,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,,,2.0,1.0,,,,,1.0,,,36.337825,-94.256187,05007
71,"AR, Boone",,0.0,0.0,0.0,1.0,0.0,,,,0.0,,,1.0,,,,,,,,36.304308,-93.079204,05009
72,"AR, Bradley",,3.0,1.0,0.0,1.0,1.0,0.0,,,4.0,,2.0,1.0,,4.0,,0.0,,,,33.463819,-92.168164,05011
73,"AR, Calhoun",,,,,0.0,,,,,,,,,,,,,,,,33.56046,-92.513879,05013
74,"AR, Carroll",,,,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,36.337774,-93.541663,05015
75,"AR, Chicot",,0.0,0.0,1.0,,,,,,,,0.0,,,,,,,,,33.267139,-91.297158,05017
76,"AR, Clark",,1.0,0.0,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,34.053312,-93.176205,05019
77,"AR, Clay",,0.0,0.0,,,1.0,,,,,,,,,,,,,,,36.367302,-90.418704,05021
78,"AR, Cleburne",,0.0,1.0,,,1.0,,,,,,,,,,,,,,,35.566288,-92.059974,05023
79,"AR, Cleveland",,0.0,0.0,,,,1.0,,,,,,,,,,,,,,33.893201,-92.188714,05025
80,"AR, Columbia",,0.0,1.0,0.0,1.0,,,,,,,4.0,,1.0,1.0,2.0,1.0,,0.0,,33.21507,-93.226901,05027
81,"AR, Conway",,0.0,0.0,,1.0,0.0,,,,,,,,,,0.0,,,,,35.265702,-92.689248,05029
82,"AR, Craighead",,0.0,0.0,1.0,,0.0,0.0,,,,,1.0,,,2.0,,,,1.0,,35.828268,-90.630411,05031
83,"AR, Crawford",,0.0,0.0,0.0,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,35.583041,-94.236224,05033
84,"AR, Crittenden",,4.0,,0.0,1.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,35.211878,-90.315331,05035
85,"AR, Cross",,0.0,,,,,,,,,,,,,,,,,,,35.291259,-90.773894,05037
86,"AR, Dallas",,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,,,33.967823,-92.653999,05039
87,"AR, Desha",,1.0,0.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,33.828748,-91.244427,05041
88,"AR, Drew",,2.0,1.0,1.0,2.0,1.0,2.0,,,,,2.0,,,,0.0,,,,,33.587242,-91.722778,05043
89,"AR, Faulkner",,1.0,0.0,0.0,,0.0,,,,,,1.0,,,,0.0,,,0.0,,35.146356,-92.324654,05045
90,"AR, Franklin",,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,35.508573,-93.887672,05047
91,"AR, Fulton",,,,,,0.0,,,,,,,,,0.0,,,,,,36.383443,-91.819239,05049
92,"AR, Garland",,0.0,,1.0,2.0,0.0,,,,,,,2.0,1.0,,1.0,,,,,34.578861,-93.146915,05051
93,"AR, Grant",,0.0,,,,,,,,,,,,,,,0.0,,,,34.288063,-92.423984,05053
94,"AR, Greene",,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,36.119922,-90.565241,05055
95,"AR, Hempstead",,0.0,0.0,,,1.0,,,,,,3.0,,,,,,,,,33.728611,-93.665809,05057
96,"AR, Hot Spring",,0.0,0.0,,,,,,,,,,,,,0.0,,,,,34.315177,-92.944147,05059
97,"AR, Howard",,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,34.083179,-93.990988,05061
98,"AR, Independence",,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,,,,,1.0,,,,,,,35.737499,-91.559942,05063
99,"AR, Izard",,0.0,,1.0,,0.0,,,,,,0.0,,,,,,,,,36.094879,-91.913625,05065
100,"AR, Jackson",,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,35.596605,-91.223178,05067
101,"AR, Jefferson",,9.0,7.0,2.0,5.0,5.0,3.0,4.0,0.0,2.0,1.0,2.0,2.0,,3.0,,1.0,2.0,1.0,,34.277696,-91.930701,05069
102,"AR, Johnson",,0.0,1.0,0.0,,,,,,,,,,,,,,,,,35.573359,-93.466322,05071
103,"AR, Lafayette",,0.0,0.0,,,1.0,,,,,,,,,,,,,,,33.24066,-93.611643,05073
104,"AR, Lawrence",,1.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,36.041098,-91.101153,05075
105,"AR, Lee",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,34.77975,-90.779288,05077
106,"AR, Lincoln",,0.0,,1.0,0.0,,,,,1.0,,,,,,,1.0,,1.0,,33.957665,-91.727624,05079
107,"AR, Little River",,0.0,0.0,,,0.0,,,,,,1.0,0.0,1.0,,1.0,,,,,33.699497,-94.229774,05081
108,"AR, Logan",,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,35.21855,-93.720563,05083
109,"AR, Lonoke",,0.0,0.0,1.0,,1.0,,,,,,2.0,0.0,,1.0,1.0,1.0,,,,34.755114,-91.894132,05085
110,"AR, Madison",,0.0,0.0,,,0.0,,,,,,1.0,0.0,,,,,0.0,,,36.012545,-93.724053,05087
111,"AR, Marion",,0.0,0.0,,0.0,0.0,,1.0,,,,,,,,,1.0,,,,36.266656,-92.678588,05089
112,"AR, Miller",,0.0,3.0,0.0,0.0,,1.0,,1.0,,,5.0,,1.0,,2.0,,1.0,,,33.305505,-93.901509,05091
113,"AR, Mississippi",,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,35.766943,-90.052209,05093
114,"AR, Monroe",,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,34.679513,-91.203314,05095
115,"AR, Montgomery",,0.0,,,0.0,,,,,,,,,,,,,,,,34.545652,-93.664147,05097
116,"AR, Nevada",,0.0,,1.0,,1.0,,,,,,,,,,,,,,,33.666699,-93.305072,05099
117,"AR, Newton",,,0.0,,,,,,,,,,,,,,,,,0.0,35.910063,-93.215084,05101
118,"AR, Ouachita",,0.0,0.0,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,33.591158,-92.878418,05103
119,"AR, Perry",,0.0,,,,0.0,,,,,,,,,,0.0,,,,,34.946363,-92.926877,05105
120,"AR, Phillips",,0.0,0.0,1.0,,1.0,,,,,,1.0,,,,,,,,,34.425842,-90.848386,05107
121,"AR, Pike",,0.0,,0.0,,,,,,,,,,,,,,,,,34.158191,-93.658659,05109
122,"AR, Poinsett",,0.0,0.0,0.0,,,,,,,,,,,,,,,,,35.568981,-90.680595,05111
123,"AR, Polk",,0.0,,0.0,,0.0,,,,,,,,,,0.0,,,,,34.490915,-94.230884,05113
124,"AR, Pope",,0.0,2.0,1.0,0.0,0.0,,,,,,1.0,,,,,,,,,35.455297,-93.031535,05115
125,"AR, Prairie",,0.0,,,,0.0,,,,,,,,,,,,,,,34.828225,-91.5572,05117
126,"AR, Pulaski",,8.0,3.0,6.0,3.0,8.0,3.0,1.0,,,,14.0,2.0,1.0,,,3.0,,2.0,,34.773988,-92.316515,05119
127,"AR, Randolph",,0.0,0.0,0.0,,0.0,,,,,,1.0,,,,,,,,,36.341299,-91.028441,05121
128,"AR, Saline",0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,3.0,1.0,,,0.0,2.0,,1.0,1.0,34.648525,-92.674463,05125
129,"AR, Scott",,0.0,0.0,1.0,,0.0,1.0,,,,,,1.0,,,,,,,,34.858869,-94.063641,05127
130,"AR, Searcy",,,,,,1.0,,,,,,0.0,,,,,,,,,35.90966,-92.699351,05129
131,"AR, Sebastian",0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,,,2.0,2.0,2.0,1.0,,1.0,2.0,,,35.196981,-94.274989,05131
132,"AR, Sevier",,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,33.994608,-94.24329,05133
133,"AR, Sharp",,0.0,,,0.0,0.0,,,,,,,,1.0,,,1.0,,,,36.173399,-91.471069,05135
134,"AR, St Francis",,0.0,,0.0,,0.0,0.0,,,,,1.0,,,,,,,,,35.014438,-90.742199,05123
135,"AR, Stone",,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,35.856989,-92.140494,05137
136,"AR, Union",0.0,7.0,1.0,2.0,5.0,0.0,1.0,1.0,,,,6.0,1.0,,1.0,0.0,1.0,1.0,1.0,,33.168219,-92.598145,05139
137,"AR, Van Buren",,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,35.582959,-92.515977,05141
138,"AR, Washington",,1.0,0.0,0.0,0.0,1.0,2.0,,,,,3.0,1.0,,1.0,,,1.0,1.0,,35.971209,-94.218417,05143
139,"AR, White",,0.0,,0.0,,0.0,0.0,,,,,,0.0,1.0,1.0,1.0,2.0,0.0,,,35.254722,-91.753158,05145
140,"AR, Woodruff",,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,35.189071,-91.244418,05147
141,"AR, Yell",,0.0,,,,1.0,,,,,,,0.0,,,,,,,,34.997713,-93.408303,05149
142,"AZ, Apache",,,0.0,5.0,1.0,1.0,1.0,,,1.0,1.0,0.0,1.0,0.0,1.0,,,,1.0,,35.385845,-109.493747,04001
143,"AZ, Cochise",,,0.0,1.0,1.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,,0.0,0.0,,0.0,2.0,31.881793,-109.75412,04003
144,"AZ, Coconino",,,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,,,1.0,2.0,0.0,,,0.0,,35.829692,-111.773728,04005
145,"AZ, Gila",,,2.0,1.0,0.0,1.0,1.0,2.0,0.0,9.0,,,1.0,0.0,1.0,,,,1.0,,33.789618,-110.81187,04007
146,"AZ, Graham",,,2.0,4.0,2.0,0.0,3.0,5.0,,9.0,0.0,,,,,0.0,1.0,,,,32.931828,-109.87831,04009
147,"AZ, Greenlee",,,,,,0.0,,0.0,,,,,1.0,,,,,,,,33.238872,-109.242323,04011
148,"AZ, La Paz",,,0.0,0.0,1.0,0.0,0.0,,,,0.0,2.0,1.0,0.0,1.0,0.0,,,,1.0,33.727625,-114.038793,04012
149,"AZ, Maricopa",,,7.0,357.0,80.0,77.0,68.0,91.0,19.0,116.0,45.0,88.0,52.0,94.0,62.0,63.0,93.0,24.0,155.0,4.0,33.346541,-112.495534,04013
150,"AZ, Mohave",,,,5.0,3.0,2.0,1.0,,,0.0,0.0,1.0,,1.0,1.0,,1.0,,0.0,0.0,35.717705,-113.749689,04015
151,"AZ, Navajo",,,0.0,1.0,0.0,,0.0,,,1.0,1.0,,1.0,,,,1.0,,4.0,,35.390934,-110.320908,04017
152,"AZ, Pima",,,2.0,7.0,16.0,47.0,15.0,13.0,0.0,12.0,19.0,33.0,2.0,5.0,29.0,4.0,5.0,0.0,10.0,2.0,32.128237,-111.783018,04019
153,"AZ, Pinal",,,0.0,8.0,7.0,18.0,6.0,3.0,0.0,15.0,1.0,8.0,2.0,5.0,5.0,7.0,10.0,2.0,3.0,1.0,32.91891,-111.367257,04021
154,"AZ, Santa Cruz",,,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,,,1.0,,,,,31.525904,-110.84519,04023
155,"AZ, Yavapai",,,0.0,1.0,1.0,,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,1.0,34.630044,-112.573745,04025
156,"AZ, Yuma",,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,32.773942,-113.910905,04027
157,"CA, Alameda",,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,37.648081,-121.913304,06001
158,"CA, Alpine",,,,0.0,,,,,,,,,,,,,,,,0.0,38.61761,-119.798999,06003
159,"CA, Amador",,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,,1.0,1.0,0.0,38.44355,-120.653856,06005
160,"CA, Butte",,,,7.0,24.0,31.0,16.0,6.0,2.0,1.0,3.0,10.0,24.0,24.0,53.0,21.0,4.0,12.0,5.0,4.0,39.665959,-121.601919,06007
161,"CA, Calaveras",,,,0.0,2.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,38.187844,-120.555115,06009
162,"CA, Colusa",,,,0.0,2.0,4.0,2.0,1.0,0.0,0.0,,3.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,,39.177739,-122.237563,06011
163,"CA, Contra Costa",,,,0.0,11.0,8.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,1.0,4.0,37.919479,-121.951543,06013
164,"CA, Del Norte",,,,0.0,,,,0.0,,,,,,,,,,,,,41.749903,-123.980998,06015
165,"CA, El Dorado",,,,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,38.785532,-120.534398,06017
166,"CA, Fresno",,,,11.0,59.0,11.0,17.0,3.0,13.0,23.0,9.0,24.0,8.0,43.0,8.0,14.0,13.0,14.0,51.0,10.0,36.761006,-119.655019,06019
167,"CA, Glenn",,,,3.0,13.0,12.0,7.0,1.0,0.0,2.0,1.0,7.0,9.0,10.0,19.0,6.0,0.0,2.0,0.0,1.0,39.602546,-122.4017,06021
168,"CA, Humboldt",,,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,1.0,,,40.706673,-123.925818,06023
169,"CA, Imperial",,,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,33.040816,-115.355395,06025
170,"CA, Inyo",,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,4.0,,,,36.561977,-117.403927,06027
171,"CA, Kern",,,,59.0,67.0,49.0,140.0,2.0,18.0,15.0,18.0,25.0,26.0,11.0,11.0,17.0,30.0,13.0,28.0,8.0,35.346629,-118.729506,06029
172,"CA, Kings",,,,0.0,32.0,1.0,7.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,0.0,8.0,5.0,0.0,3.0,2.0,36.072478,-119.81553,06031
173,"CA, Lake",,,,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,39.094802,-122.746757,06033
174,"CA, Lassen",,,,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,,,,40.721089,-120.629931,06035
175,"CA, Los Angeles",,1.0,1.0,306.0,40.0,13.0,36.0,156.0,20.0,4.0,58.0,163.0,150.0,253.0,286.0,151.0,277.0,43.0,31.0,90.0,34.196398,-118.261862,06037
176,"CA, Madera",,,,0.0,18.0,0.0,2.0,0.0,1.0,7.0,2.0,3.0,3.0,3.0,4.0,6.0,2.0,4.0,3.0,6.0,37.210039,-119.749852,06039
177,"CA, Marin",,,,0.0,0.0,1.0,0.0,0.0,,,,0.0,2.0,0.0,1.0,0.0,0.0,,,0.0,38.051817,-122.745974,06041
178,"CA, Mariposa",,,,0.0,0.0,0.0,,,,,,,,,,,,,,,37.570034,-119.91286,06043
179,"CA, Mendocino",,,,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,1.0,2.0,,,,,,39.432388,-123.442881,06045
180,"CA, Merced",,,,1.0,25.0,4.0,4.0,1.0,4.0,1.0,1.0,13.0,0.0,1.0,1.0,0.0,10.0,2.0,10.0,12.0,37.194806,-120.722802,06047
181,"CA, Modoc",,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,41.592919,-120.71837,06049
182,"CA, Mono",,,,0.0,0.0,1.0,,0.0,0.0,0.0,,,,,,,,,,,37.915836,-118.875167,06051
183,"CA, Monterey",,,,0.0,0.0,0.0,,0.0,1.0,,,1.0,,,,1.0,0.0,1.0,,,36.240107,-121.315573,06053
184,"CA, Napa",,,,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,,1.0,,0.0,38.507351,-122.325995,06055
185,"CA, Nevada",,,,0.0,4.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,0.0,39.295191,-120.773446,06057
186,"CA, Orange",,,0.0,62.0,17.0,6.0,9.0,71.0,4.0,1.0,10.0,42.0,11.0,263.0,92.0,32.0,33.0,9.0,5.0,17.0,33.675687,-117.777207,06059
187,"CA, Placer",,,,1.0,35.0,8.0,4.0,6.0,0.0,3.0,1.0,12.0,5.0,7.0,0.0,7.0,0.0,9.0,1.0,2.0,39.062032,-120.722718,06061
188,"CA, Plumas",,,,0.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,39.99517,-120.829516,06063
189,"CA, Riverside",,,1.0,109.0,103.0,4.0,17.0,62.0,3.0,0.0,7.0,19.0,36.0,14.0,127.0,11.0,32.0,15.0,12.0,10.0,33.729828,-116.002239,06065
190,"CA, Sacramento",,,,3.0,163.0,15.0,25.0,13.0,0.0,12.0,4.0,29.0,11.0,10.0,4.0,25.0,6.0,15.0,4.0,7.0,38.450011,-121.340441,06067
191,"CA, San Benito",,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,36.610702,-121.085296,06069
192,"CA, San Bernardino",,,0.0,187.0,33.0,3.0,4.0,36.0,2.0,5.0,4.0,33.0,13.0,21.0,54.0,8.0,57.0,9.0,7.0,3.0,34.85722,-116.181197,06071
193,"CA, San Diego",,,0.0,2.0,1.0,1.0,15.0,35.0,4.0,0.0,0.0,1.0,0.0,11.0,42.0,20.0,2.0,2.0,3.0,1.0,33.023604,-116.776117,06073
194,"CA, San Francisco",,,,0.0,2.0,0.0,0.0,,0.0,1.0,,1.0,1.0,0.0,,0.0,1.0,,,,37.727239,-123.032229,06075
195,"CA, San Joaquin",,,,2.0,34.0,8.0,10.0,12.0,10.0,6.0,5.0,13.0,9.0,9.0,2.0,13.0,14.0,14.0,7.0,2.0,37.935034,-121.272237,06077
196,"CA, San Luis Obispo",,,,1.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2.0,,35.385227,-120.44754,06079
197,"CA, San Mateo",,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,37.414664,-122.371542,06081
198,"CA, Santa Barbara",,,,0.0,2.0,0.0,0.0,1.0,0.0,,1.0,,1.0,0.0,0.0,,0.0,,,0.0,34.537378,-120.038485,06083
199,"CA, Santa Clara",,,,1.0,5.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,10.0,8.0,1.0,0.0,1.0,1.0,0.0,37.220777,-121.690622,06085
200,"CA, Santa Cruz",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,37.012488,-122.007205,06087
201,"CA, Shasta",,,,5.0,1.0,4.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,40.760522,-122.04355,06089
202,"CA, Sierra",,,,0.0,,,,,,,,,,,,,,,,,39.576925,-120.521993,06091
