county,state,stcode,ctycode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Russell County,Alabama,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0
St. Clair County,Alabama,1,115,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2,1,0
Shelby County,Alabama,1,117,0,0,0,0,0,0,1,0,0,0,1,2,4,6,2,4,1,0,0,0
Sumter County,Alabama,1,119,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Talladega County,Alabama,1,121,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Tallapoosa County,Alabama,1,123,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,1,1,0,0,0
Tuscaloosa County,Alabama,1,125,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,7,4,3,7,3
Walker County,Alabama,1,127,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,2,0
Washington County,Alabama,1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilcox County,Alabama,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winston County,Alabama,1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleutians East Borough,Alaska,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleutians West Census Area,Alaska,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorage Municipality,Alaska,2,20,1,1,2,1,1,1,3,1,4,0,3,1,5,4,2,5,6,3,3,0
Bethel Census Area,Alaska,2,50,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Bristol Bay Borough,Alaska,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denali Borough,Alaska,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dillingham Census Area,Alaska,2,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairbanks North Star Borough,Alaska,2,90,1,0,1,1,0,0,0,1,0,0,1,1,2,0,2,5,1,1,0,0
Haines Borough,Alaska,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoonah-Angoon Census Area,Alaska,2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juneau City and Borough,Alaska,2,110,0,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0
Kenai Peninsula Borough,Alaska,2,122,0,0,0,0,0,1,1,1,0,3,3,1,0,1,1,2,1,4,0,0
Ketchikan Gateway Borough,Alaska,2,130,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0
Kodiak Island Borough,Alaska,2,150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Kusilvak Census Area,Alaska,2,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake and Peninsula Borough,Alaska,2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matanuska-Susitna Borough,Alaska,2,170,0,0,0,0,1,0,4,1,1,3,1,1,4,3,1,3,1,1,0,0
Nome Census Area,Alaska,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Slope Borough,Alaska,2,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Arctic Borough,Alaska,2,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg Borough,Alaska,2,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prince of Wales-Hyder Census Area,Alaska,2,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sitka City and Borough,Alaska,2,220,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Skagway Municipality,Alaska,2,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southeast Fairbanks Census Area,Alaska,2,240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valdez-Cordova Census Area,Alaska,2,261,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wrangell City and Borough,Alaska,2,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yakutat City and Borough,Alaska,2,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yukon-Koyukuk Census Area,Alaska,2,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Apache County,Arizona,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cochise County,Arizona,4,3,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,2,0
Coconino County,Arizona,4,5,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,1,3,2,0,0
Gila County,Arizona,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0
Graham County,Arizona,4,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Greenlee County,Arizona,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Paz County,Arizona,4,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Maricopa County,Arizona,4,13,2,3,1,10,7,6,0,8,3,0,7,3,16,10,2,5,14,1,1,0
Mohave County,Arizona,4,15,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,0,0
Navajo County,Arizona,4,17,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
Pima County,Arizona,4,19,0,1,1,2,3,2,0,0,4,0,4,3,7,1,7,3,3,1,7,0
Pinal County,Arizona,4,21,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1
Santa Cruz County,Arizona,4,23,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Yavapai County,Arizona,4,25,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,2,1,1,0,0
Yuma County,Arizona,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Arkansas County,Arkansas,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley County,Arkansas,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Baxter County,Arkansas,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton County,Arkansas,5,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Boone County,Arkansas,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley County,Arkansas,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun County,Arkansas,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll County,Arkansas,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicot County,Arkansas,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark County,Arkansas,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Clay County,Arkansas,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cleburne County,Arkansas,5,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland County,Arkansas,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Columbia County,Arkansas,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conway County,Arkansas,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Craighead County,Arkansas,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford County,Arkansas,5,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crittenden County,Arkansas,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross County,Arkansas,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas County,Arkansas,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Desha County,Arkansas,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew County,Arkansas,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faulkner County,Arkansas,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Franklin County,Arkansas,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fulton County,Arkansas,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garland County,Arkansas,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Grant County,Arkansas,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene County,Arkansas,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hempstead County,Arkansas,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hot Spring County,Arkansas,5,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard County,Arkansas,5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence County,Arkansas,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Izard County,Arkansas,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County,Arkansas,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,Arkansas,5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson County,Arkansas,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Lafayette County,Arkansas,5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence County,Arkansas,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lee County,Arkansas,5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County,Arkansas,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little River County,Arkansas,5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan County,Arkansas,5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonoke County,Arkansas,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Madison County,Arkansas,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County,Arkansas,5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miller County,Arkansas,5,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi County,Arkansas,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Monroe County,Arkansas,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery County,Arkansas,5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Nevada County,Arkansas,5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newton County,Arkansas,5,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouachita County,Arkansas,5,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry County,Arkansas,5,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillips County,Arkansas,5,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pike County,Arkansas,5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poinsett County,Arkansas,5,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County,Arkansas,5,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pope County,Arkansas,5,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Prairie County,Arkansas,5,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pulaski County,Arkansas,5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
Randolph County,Arkansas,5,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Francis County,Arkansas,5,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saline County,Arkansas,5,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott County,Arkansas,5,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Searcy County,Arkansas,5,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian County,Arkansas,5,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevier County,Arkansas,5,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharp County,Arkansas,5,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stone County,Arkansas,5,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Union County,Arkansas,5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Buren County,Arkansas,5,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington County,Arkansas,5,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0
White County,Arkansas,5,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodruff County,Arkansas,5,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Yell County,Arkansas,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda County,California,6,1,3,7,2,0,5,3,3,6,3,3,2,4,0,1,8,12,13,2,17,6
Alpine County,California,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amador County,California,6,5,1,0,0,0,0,1,2,0,0,1,0,0,1,0,2,0,0,0,0,1
Butte County,California,6,7,1,3,2,2,0,1,0,2,3,2,0,1,0,2,0,3,0,0,1,0
Calaveras County,California,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Colusa County,California,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contra Costa County,California,6,13,5,3,4,0,4,1,0,1,3,1,3,1,4,3,5,8,10,9,4,2
Del Norte County,California,6,15,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
El Dorado County,California,6,17,0,0,0,3,3,3,2,0,3,2,0,2,2,1,2,3,1,0,0,0
Fresno County,California,6,19,0,1,0,0,0,1,0,2,1,3,0,4,0,0,1,1,0,1,1,0
Glenn County,California,6,21,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0
Humboldt County,California,6,23,4,5,5,7,11,4,6,6,4,14,8,2,4,5,8,6,2,1,3,0
Imperial County,California,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Inyo County,California,6,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern County,California,6,29,0,2,1,0,2,1,2,5,2,2,0,0,0,0,1,1,1,0,0,0
Kings County,California,6,31,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,2,1
Lake County,California,6,33,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2,1
Lassen County,California,6,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles County,California,6,37,9,6,7,2,8,11,9,8,7,11,6,0,20,6,4,2,3,4,3,2
Madera County,California,6,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Marin County,California,6,41,1,4,4,0,3,6,3,2,3,4,1,3,6,3,3,3,0,2,8,2
Mariposa County,California,6,43,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0
Mendocino County,California,6,45,4,10,6,2,1,0,5,9,7,10,7,4,1,2,0,1,2,0,11,3
Merced County,California,6,47,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Modoc County,California,6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mono County,California,6,51,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Monterey County,California,6,53,1,5,1,1,0,0,0,0,0,1,1,1,1,0,2,2,0,0,3,0
Napa County,California,6,55,3,1,0,1,1,0,3,0,2,0,1,2,1,2,1,1,0,2,0,1
Nevada County,California,6,57,6,3,4,1,3,2,2,2,1,5,6,2,0,0,0,2,0,1,3,0
Orange County,California,6,59,0,3,2,0,1,2,1,1,1,7,6,0,0,0,0,0,0,0,0,0
Placer County,California,6,61,4,3,0,2,2,3,0,1,4,0,1,2,1,0,0,2,3,0,0,0
Plumas County,California,6,63,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Riverside County,California,6,65,2,1,2,1,4,0,0,1,5,1,5,1,2,3,2,4,4,5,3,4
Sacramento County,California,6,67,4,2,4,2,6,3,2,0,0,1,1,0,0,0,0,1,1,3,2,0
San Benito County,California,6,69,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
San Bernardino County,California,6,71,0,0,1,0,0,0,0,1,2,0,2,0,1,0,1,1,0,1,5,1
San Diego County,California,6,73,3,7,2,4,8,9,5,3,10,10,7,6,6,7,10,7,5,7,1,3
San Francisco County,California,6,75,3,3,3,1,8,6,3,5,1,10,1,1,9,0,0,0,18,16,14,10
San Joaquin County,California,6,77,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,1,2,0
San Luis Obispo County,California,6,79,0,0,0,0,1,0,0,1,0,0,1,0,3,3,4,2,0,2,1,3
San Mateo County,California,6,81,4,3,5,1,4,2,0,2,11,2,0,1,8,5,5,8,2,0,3,1
Santa Barbara County,California,6,83,1,2,3,2,0,0,2,2,9,1,5,0,7,1,3,6,3,5,3,1
Santa Clara County,California,6,85,2,6,4,0,2,9,2,0,2,4,10,4,12,5,10,16,23,7,6,4
Santa Cruz County,California,6,87,10,1,7,3,0,6,5,2,5,7,8,6,7,6,7,4,19,9,14,2
Shasta County,California,6,89,2,1,0,2,2,0,0,0,0,5,1,1,0,0,0,1,1,0,0,1
Sierra County,California,6,91,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Siskiyou County,California,6,93,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0
Solano County,California,6,95,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,2,1,1
Sonoma County,California,6,97,6,4,9,2,9,8,9,9,10,9,3,12,7,10,12,14,16,11,10,0
Stanislaus County,California,6,99,2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,3,6,1,1
Sutter County,California,6,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehama County,California,6,103,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
Trinity County,California,6,105,1,1,1,3,3,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
Tulare County,California,6,107,2,0,0,0,0,0,1,0,4,2,0,1,1,0,1,1,2,0,8,0
Tuolumne County,California,6,109,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0
Ventura County,California,6,111,2,1,1,2,1,0,4,2,3,4,0,2,2,0,0,6,4,3,4,0
Yolo County,California,6,113,0,2,0,1,0,1,1,0,0,0,0,1,1,1,1,1,3,1,3,0
Yuba County,California,6,115,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1
Adams County,Colorado,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Alamosa County,Colorado,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arapahoe County,Colorado,8,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Archuleta County,Colorado,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baca County,Colorado,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bent County,Colorado,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
